base_items,add_items,support,confidence,lift
"6, 117","27, 107",0.0132,0.4714285714285714,10.862409479921
"107, 117","6, 27",0.0132,0.5454545454545454,9.705596894208993
"6, 27","107, 117",0.0132,0.23487544483985764,9.705596894208993
"27, 117","6, 107",0.0132,0.584070796460177,9.270965023177412
"6, 107","27, 117",0.0132,0.20952380952380953,9.270965023177412
"6, 27, 117",107,0.0132,0.825,7.124352331606218
"6, 27, 107",117,0.0132,0.4714285714285714,7.121277514026759
"6, 107, 117",27,0.0132,0.7333333333333333,6.892230576441103
"27, 107, 117",6,0.0132,0.7764705882352941,3.913662239089184
"1, 96",6,0.0132,0.7586206896551724,3.8236929922135703
92,96,0.0132,0.3113207547169811,3.2909170688898643
"1, 6",96,0.0132,0.2391304347826087,2.527805864509606
"6, 96",1,0.0132,0.3013698630136986,2.4148226203020724
74,6,0.0132,0.27049180327868855,1.3633659439450025
"3, 5","1, 2",0.013,0.7738095238095238,15.292678336156596
"1, 2","3, 5",0.013,0.25691699604743085,15.292678336156596
"1, 4",5,0.013,0.6989247311827957,14.560931899641576
5,"1, 4",0.013,0.2708333333333333,14.560931899641576
"2, 3","1, 5",0.013,0.2981651376146789,13.677299890581601
"1, 5","2, 3",0.013,0.5963302752293578,13.677299890581601
"1, 2, 5",3,0.013,0.8904109589041096,11.935803738660985
"2, 5","1, 3",0.013,0.6701030927835051,11.923542576218953
"1, 3","2, 5",0.013,0.2313167259786477,11.923542576218953
"1, 3, 5",2,0.013,0.8227848101265823,11.754068716094032
"1, 5",4,0.013,0.5963302752293578,11.002403602017672
4,"1, 5",0.013,0.23985239852398524,11.002403602017672
"1, 4",3,0.013,0.6989247311827957,9.368964224970451
"2, 3, 5",1,0.013,0.9701492537313433,7.77363184079602
"50, 102",96,0.013,0.6914893617021277,7.309612702982322
"1, 2, 3",5,0.013,0.3385416666666667,7.052951388888889
5,"1, 2, 3",0.013,0.2708333333333333,7.052951388888889
"3, 4",1,0.013,0.8552631578947368,6.853070175438596
"6, 168",96,0.013,0.5241935483870968,5.541158016776921
"50, 96",102,0.013,0.2968036529680365,5.516796523569452
102,"50, 96",0.013,0.241635687732342,5.516796523569452
"96, 168",6,0.013,0.9154929577464789,4.614379827351204
"1, 3",4,0.013,0.2313167259786477,4.267836272668776
4,"1, 3",0.013,0.23985239852398524,4.267836272668776
"4, 5",1,0.013,0.4421768707482993,3.543083900226757
"6, 96",168,0.013,0.2968036529680365,3.5166309593369256
106,107,0.013,0.3869047619047619,3.3411464758615015
"96, 102",50,0.013,0.48507462686567165,3.101500171775394
92,6,0.0128,0.3018867924528302,1.5216068167985393
"3, 4",5,0.0126,0.8289473684210527,17.269736842105264
5,"3, 4",0.0126,0.2625,17.269736842105264
"3, 5",4,0.0126,0.75,13.837638376383763
4,"3, 5",0.0126,0.23247232472324722,13.837638376383763
"1, 4",2,0.0126,0.6774193548387096,9.67741935483871
"4, 5",3,0.0126,0.42857142857142855,5.744925315970892
"1, 168",6,0.0126,0.9545454545454546,4.811217008797654
"2, 4",1,0.0126,0.5887850467289719,4.717828900071891
"1, 2",4,0.0126,0.2490118577075099,4.594314717850736
4,"1, 2",0.0126,0.23247232472324722,4.594314717850736
"6, 168",1,0.0126,0.5080645161290323,4.071029776674938
"1, 6",168,0.0126,0.22826086956521738,2.704512672573666
116,115,0.0124,0.4161073825503356,10.248950309121566
115,116,0.0124,0.3054187192118227,10.248950309121566
"141, 168",182,0.0124,0.4626865671641791,8.863727340309943
182,"141, 168",0.0124,0.23754789272030652,8.863727340309943
"141, 182",168,0.0124,0.7126436781609196,8.443645475840277
14,12,0.0124,0.31958762886597936,8.322594501718212
12,14,0.0124,0.3229166666666667,8.322594501718212
"168, 182",141,0.0124,0.3712574850299401,7.139567019806541
141,"168, 182",0.0124,0.23846153846153847,7.139567019806541
"6, 102",50,0.0124,0.8157894736842105,5.216045228159914
"50, 102",6,0.0124,0.6595744680851063,3.324468085106383
102,"6, 50",0.0124,0.23048327137546468,2.6676304557345447
125,124,0.0122,0.4420289855072464,9.779402334231115
124,125,0.0122,0.26991150442477874,9.779402334231115
124,119,0.0122,0.26991150442477874,5.767339838136298
119,124,0.0122,0.2606837606837607,5.767339838136298
"50, 123",6,0.0122,0.6777777777777778,3.4162186379928317
"6, 123",50,0.0122,0.40397350993377484,2.5829508307786115
"3, 5","1, 4",0.012,0.7142857142857143,38.40245775729647
"1, 4","3, 5",0.012,0.6451612903225806,38.40245775729647
"3, 4","1, 5",0.012,0.7894736842105263,36.2143891839691
"1, 5","3, 4",0.012,0.5504587155963303,36.2143891839691
"1, 3, 4",5,0.012,0.9230769230769231,19.23076923076923
5,"1, 3, 4",0.012,0.25,19.23076923076923
"1, 3, 5",4,0.012,0.759493670886076,14.01279835583166
4,"1, 3, 5",0.012,0.22140221402214022,14.01279835583166
"1, 4, 5",3,0.012,0.9230769230769231,12.373685295937307
"17, 27",40,0.012,0.5042016806722689,10.084033613445378
40,"17, 27",0.012,0.24,10.084033613445378
"3, 4, 5",1,0.012,0.9523809523809523,7.631257631257632
"17, 40",27,0.012,0.8108108108108109,7.620402357244463
"4, 5","1, 3",0.012,0.40816326530612246,7.262691553489724
"1, 3","4, 5",0.012,0.21352313167259787,7.262691553489724
"27, 40",17,0.012,0.37037037037037035,6.13195977434388
"6, 17",27,0.012,0.45112781954887216,4.239923116060829
"50, 107",27,0.012,0.41379310344827586,3.88903292714545
"6, 27",17,0.012,0.21352313167259787,3.535151186632415
"27, 50",107,0.012,0.36363636363636365,3.1402103940964046
"17, 27",6,0.012,0.5042016806722689,2.541339116291678
"27, 107",50,0.012,0.2764976958525346,1.7678880808985586
"12, 14",13,0.0118,0.9516129032258065,20.333609043286465
13,"12, 14",0.0118,0.25213675213675213,20.333609043286465
"13, 14",12,0.0118,0.686046511627907,17.865794573643413
12,"13, 14",0.0118,0.3072916666666667,17.865794573643413
"12, 13",14,0.0118,0.5462962962962963,14.07980145093547
14,"12, 13",0.0118,0.30412371134020616,14.07980145093547
12,11,0.0118,0.3072916666666667,10.311800894854585
11,12,0.0118,0.3959731543624161,10.311800894854585
49,40,0.0118,0.28095238095238095,5.6190476190476195
40,49,0.0118,0.236,5.6190476190476195
"6, 10",27,0.0118,0.42142857142857143,3.9607948442534906
"6, 27",10,0.0118,0.2099644128113879,3.2006770245638396
"10, 27",6,0.0118,0.5841584158415841,2.944346854040243
118,6,0.0118,0.23694779116465864,1.194293302241223
"3, 4",2,0.0116,0.7631578947368421,10.902255639097744
"2, 4",3,0.0116,0.5420560747663551,7.266167222069104
"50, 168",96,0.0116,0.5420560747663551,5.729979648692971
"96, 168",50,0.0116,0.8169014084507042,5.223154785490435
"2, 3",4,0.0116,0.26605504587155965,4.908764683977115
4,"2, 3",0.0116,0.2140221402214022,4.908764683977115
"2, 50",6,0.0116,0.7837837837837838,3.95052310374891
"2, 6",50,0.0116,0.5631067961165048,3.6004270851438926
"50, 96",168,0.0116,0.2648401826484018,3.137916856023718
"27, 50",10,0.0114,0.34545454545454546,5.266075388026607
"10, 50",27,0.0114,0.4014084507042254,3.772635814889336
"10, 27",50,0.0114,0.5643564356435643,3.6084171076954243
"8, 27",6,0.0114,0.6195652173913043,3.1228085553997196
"6, 27",8,0.0114,0.20284697508896798,2.8409940488650975
"6, 8",27,0.0114,0.2766990291262136,2.6005547850208046
9,123,0.0112,0.3835616438356164,5.5912776069331835
"1, 8",50,0.0112,0.8484848484848485,5.425094939161435
"1, 50",8,0.0112,0.2994652406417112,4.194191045402118
"8, 50",1,0.0112,0.35668789808917195,2.85807610648375
"3, 4","1, 2",0.011,0.7236842105263158,14.302059496567505
"1, 2","3, 4",0.011,0.21739130434782608,14.302059496567505
"2, 3","1, 4",0.011,0.25229357798165136,13.564170859228568
"1, 4","2, 3",0.011,0.5913978494623656,13.564170859228568
"1, 3, 4",2,0.011,0.8461538461538461,12.087912087912088
"50, 168","6, 96",0.011,0.514018691588785,11.735586565953996
"6, 96","50, 168",0.011,0.2511415525114155,11.735586565953996
"1, 2, 4",3,0.011,0.873015873015873,11.70262564364441
"50, 96","6, 168",0.011,0.2511415525114155,10.12667550449256
"6, 168","50, 96",0.011,0.4435483870967742,10.12667550449256
"2, 4","1, 3",0.011,0.514018691588785,9.146240063857384
"96, 168","6, 50",0.011,0.7746478873239436,8.96583202921231
"6, 102",96,0.011,0.7236842105263158,7.649938800489595
"2, 3, 4",1,0.011,0.9482758620689655,7.598364279398762
"1, 96","6, 50",0.011,0.632183908045977,7.316943380161771
"6, 96","1, 50",0.011,0.2511415525114155,6.7150147730325
"1, 50","6, 96",0.011,0.29411764705882354,6.7150147730325
"6, 50, 168",96,0.011,0.632183908045977,6.682705159048382
"6, 96, 168",50,0.011,0.8461538461538461,5.410190832185716
"1, 6, 96",50,0.011,0.8333333333333334,5.328218243819267
"1, 2, 3",4,0.011,0.2864583333333333,5.28520910209102
4,"1, 2, 3",0.011,0.2029520295202952,5.28520910209102
"50, 96, 168",6,0.011,0.9482758620689655,4.779616240266963
"6, 96",102,0.011,0.2511415525114155,4.66805859686646
102,"6, 96",0.011,0.20446096654275092,4.66805859686646
"50, 96","1, 6",0.011,0.2511415525114155,4.549665806366223
"1, 6, 50",96,0.011,0.39285714285714285,4.15282392026578
"6, 50, 96",168,0.011,0.34810126582278483,4.124422580838683
115,117,0.011,0.270935960591133,4.09268822645216
"1, 50, 96",6,0.011,0.7971014492753623,4.017648433847592
"6, 50, 96",1,0.011,0.34810126582278483,2.7892729633235964
"50, 117",6,0.011,0.5445544554455446,2.744730118173108
"6, 117",50,0.011,0.39285714285714285,2.5118743149433684
"96, 102",6,0.011,0.41044776119402987,2.0687891189215213
128,126,0.0108,0.5142857142857142,25.45968882602546
126,128,0.0108,0.5346534653465347,25.45968882602546
"50, 96","6, 102",0.0108,0.2465753424657534,16.22206200432588
"6, 102","50, 96",0.0108,0.7105263157894737,16.22206200432588
"50, 102","6, 96",0.0108,0.574468085106383,13.115709705625182
"6, 96","50, 102",0.0108,0.2465753424657534,13.115709705625182
"6, 50, 102",96,0.0108,0.8709677419354839,9.20684716633704
"6, 50, 96",102,0.0108,0.34177215189873417,6.352642228601007
102,"6, 50, 96",0.0108,0.20074349442379183,6.352642228601007
"6, 96, 102",50,0.0108,0.9818181818181818,6.277609858172519
"96, 102","6, 50",0.0108,0.40298507462686567,4.664179104477612
"8, 96",50,0.0108,0.7105263157894737,4.543007134203797
"50, 96, 102",6,0.0108,0.8307692307692308,4.187344913151366
"8, 50",96,0.0108,0.34394904458598724,3.635824995623544
"50, 96",8,0.0108,0.2465753424657534,3.4534361689881434
40,107,0.0108,0.216,1.8652849740932644
"2, 5","1, 4",0.0106,0.5463917525773195,29.375900676199976
"1, 4","2, 5",0.0106,0.5698924731182796,29.375900676199976
"2, 4","1, 5",0.0106,0.4953271028037383,22.721426734116438
"1, 5","2, 4",0.0106,0.48623853211009177,22.721426734116438
113,111,0.0106,0.5955056179775281,20.534676481983727
111,113,0.0106,0.36551724137931035,20.534676481983727
158,157,0.0106,0.4608695652173913,17.863161442534548
157,158,0.0106,0.4108527131782946,17.863161442534548
"1, 2, 4",5,0.0106,0.8412698412698413,17.52645502645503
5,"1, 2, 4",0.0106,0.22083333333333333,17.52645502645503
"1, 2, 5",4,0.0106,0.726027397260274,13.395339432846384
"1, 4, 5",2,0.0106,0.8153846153846154,11.648351648351648
"4, 5","1, 2",0.0106,0.36054421768707484,7.12537979618725
"1, 2","4, 5",0.0106,0.20948616600790515,7.12537979618725
"2, 4, 5",1,0.0106,0.6973684210526315,5.587887989203779
124,50,0.0106,0.2345132743362832,1.499445488083652
73,6,0.0106,0.2849462365591398,1.43622095039889
"3, 4","2, 5",0.0104,0.6842105263157895,35.268583830710796
"2, 5","3, 4",0.0104,0.5360824742268041,35.268583830710796
"3, 5","2, 4",0.0104,0.6190476190476191,28.927458834000888
"2, 4","3, 5",0.0104,0.48598130841121495,28.927458834000888
"2, 3, 4",5,0.0104,0.896551724137931,18.67816091954023
5,"2, 3, 4",0.0104,0.21666666666666667,18.67816091954023
"2, 3, 5",4,0.0104,0.7761194029850746,14.319546180536431
"3, 4, 5",2,0.0104,0.8253968253968254,11.791383219954648
"2, 4, 5",3,0.0104,0.6842105263157895,9.171722872865809
"4, 5","2, 3",0.0104,0.35374149659863946,8.113337077950446
"2, 3","4, 5",0.0104,0.23853211009174313,8.113337077950446
"2, 50",1,0.0104,0.7027027027027027,5.63063063063063
"1, 50",2,0.0104,0.27807486631016043,3.9724980901451485
118,50,0.0104,0.20883534136546184,1.3352643309812138
"1, 2",50,0.0104,0.20553359683794467,1.314153432467677
171,11,0.0102,0.4322033898305085,14.503469457399614
11,171,0.0102,0.3422818791946309,14.503469457399614
"6, 168","1, 50",0.0102,0.4112903225806452,10.997067448680353
"1, 50","6, 168",0.0102,0.2727272727272727,10.997067448680353
"1, 168","6, 50",0.0102,0.7727272727272727,8.943602693602696
"50, 168","1, 6",0.0102,0.4766355140186916,8.634701340918326
"6, 148",123,0.0102,0.3695652173913043,5.387248066928636
"1, 6, 168",50,0.0102,0.8095238095238095,5.175983436853002
"1, 50, 168",6,0.0102,1.0,5.040322580645162
"1, 168",50,0.0102,0.7727272727272727,4.940711462450593
"6, 74",50,0.0102,0.7727272727272727,4.940711462450593
"50, 117",27,0.0102,0.504950495049505,4.745775329412641
"6, 50, 168",1,0.0102,0.5862068965517241,4.697170645446508
"27, 50",117,0.0102,0.3090909090909091,4.669046965119473
"123, 148",6,0.0102,0.864406779661017,4.3568890103881905
"1, 6, 50",168,0.0102,0.36428571428571427,4.316181448882871
"6, 123",148,0.0102,0.33774834437086093,4.297052727364643
"50, 168",1,0.0102,0.4766355140186916,3.819194823867721
"1, 50",168,0.0102,0.2727272727272727,3.231365790607497
"27, 117",50,0.0102,0.45132743362831856,2.8857252789534438
"50, 74",6,0.0102,0.4811320754716981,2.425060864272672
74,"6, 50",0.0102,0.20901639344262296,2.4191712204007287
"1, 2, 4","3, 5",0.01,0.7936507936507936,47.241118669690096
"3, 5","1, 2, 4",0.01,0.5952380952380952,47.241118669690096
"1, 2, 5","3, 4",0.01,0.684931506849315,45.06128334534968
"3, 4","1, 2, 5",0.01,0.6578947368421053,45.06128334534968
"2, 3, 5","1, 4",0.01,0.746268656716418,40.121970791205264
"1, 4","2, 3, 5",0.01,0.5376344086021505,40.121970791205264
"1, 3, 4","2, 5",0.01,0.7692307692307693,39.65107057890563
"2, 5","1, 3, 4",0.01,0.5154639175257731,39.65107057890563
"2, 3, 4","1, 5",0.01,0.8620689655172413,39.54444795950649
